Key,Comment,en,en-GB,de,es,
GENERIC_LABEL_CONNECTING,Generic label used when client is attempting to connect to server,Connecting...,Connecting...,Connecting...,Connecting...,
FILEINFO_LABEL_CONTAINS,"FileInfo, 'Contains' label",Contains,Contains,Contains,Contains,
GENERIC_BUTTON_CONTINUE,"Generic: Button, Continue.",Continue,Continue,Continue,Continue,
DOWNLOAD_ALERT_MESSAGE_COULD_NOT_START_DOWNLOAD_UPLOADING,"Download: Alert message, could not start a download whilst an upload is in progress.",Could not start download due to an upload currently in progress,Could not start download due to an upload currently in progress,Could not start download due to an upload currently in progress,Could not start download due to an upload currently in progress,
GENERIC_UNKNOWN_CHARACTER,A character representing an unknown value - e.g. in file info,-,-,-,-,
FILEINFO_LABEL_DATE,"FileInfo, 'Date' label",Date Uploaded,Date Uploaded,Date Uploaded,Date Uploaded,
FILEINFO_LABEL_DATETAKEN,"FileInfo, 'Date Taken' label",Date Taken,Date Taken,Date Taken,Date Taken,
FILEINFO_LABEL_DATECREATED,"FileInfo, 'Date Created' label",Date Modified,Date Modified,Date Modified,Date Modified,
GENERIC_ALERT_TITLE_DELETE_FILE,"Alert title, 'Delete File'",Delete file,Delete file,Delete file,Delete file,
ALBUM_ALERT_TITLE_DELETE_FOLDER,"Album: Alert title, 'Delete Folder'.",Delete folder,Delete folder,Delete folder,Delete folder,
